loan_id,customer_id,customer_name,product_code,product_name,province,branch_id,origination_date,maturity_date,original_amount,current_balance,interest_rate,risk_grade,credit_score,property_value,ltv_ratio,approval_officer
LN-0000001,CUST-004140,Mary Jackson,AUTO,Auto Loan,ON,BR-007,2020-02-24,2026-01-23,53985.47,4682.63,8.6226,A,724,0,0,D. Patel
LN-0000002,CUST-002758,David Williams,PL-SEC,Secured Personal Loan,AB,BR-013,2022-02-13,2027-01-18,41424.37,11728.31,7.0325,A,723,0,0,E. Martin
LN-0000003,CUST-001576,Michael Johnson,MTG-FIX,Fixed Rate Mortgage,QC,BR-022,2024-02-25,2048-10-16,475359.66,412956.57,6.4462,BBB,725,702599.99,58.78,G. Brown
LN-0000004,CUST-000585,Richard Jackson,MTG-FIX,Fixed Rate Mortgage,ON,BR-024,2020-02-18,2044-10-09,366088.36,288615.3,5.4068,AA,767,460119.77,62.73,D. Patel
LN-0000005,CUST-003287,Karen Williams,MTG-FIX,Fixed Rate Mortgage,BC,BR-007,2025-03-31,2049-11-20,253730.62,0,5.1486,A,712,305050.47,0.0,D. Patel
LN-0000006,CUST-003510,Wei Lopez,LOC,Line of Credit,BC,BR-008,2024-08-06,2029-07-11,22803.44,16810.63,12.0727,BB,636,0,0,B. Chen
LN-0000007,CUST-002060,James Kim,STUDENT,Student Loan,ON,BR-024,2020-03-25,2030-02-01,13406.27,5926.91,4.5599,BBB,699,0,0,J. Taylor
LN-0000008,CUST-000872,Lisa Sharma,MTG-FIX,Fixed Rate Mortgage,MB,BR-021,2022-10-25,2047-06-16,178086.52,148137.25,5.3695,BB,631,244729.03,60.53,D. Patel
LN-0000009,CUST-001974,JENNIFER WILLIAMS,AUTO,Auto Loan,ON,BR-024,2024-12-12,2030-11-11,69702.08,58014.95,7.5963,A,713,0,0,I. Lopez
LN-0000010,CUST-001648,Lisa Wilson,HELOC,Home Equity Line of Credit,ON,BR-022,2020-06-09,2030-04-18,206431.48,85572.32,8.3671,BB,633,235889.42,36.28,A. Sharma
LN-0000011,CUST-000483,Thomas Williams,AUTO,Auto Loan,BC,BR-002,07/09/2021,2027-06-08,14161.68,4063.0,5.5736,BBB,710,0,0,G. Brown
LN-0000012,CUST-001560,David Brown,LOC,Line of Credit,ON,BR-022,2021-05-27,2026-05-01,29265.53,4038.76,11.1168,A,736,0,0,I. Lopez
LN-0000013,CUST-001504,Karen Thomas,HELOC,Home Equity Line of Credit,BC,BR-008,2020-02-08,2029-12-17,41668.49,18332.58,7.8205,BBB,698,69556.01,26.36,J. Taylor
